,code_commune_INSEE,code_postal,latitude,longitude,nom_commune_complet,nom_departement,nom_region
105,1098,1300,45.7925770617,5.68477063188,Chazey-Bons,Ain,Auvergne-Rhône-Alpes
106,1099,1150,45.8929448968,5.25528498524,Chazey-sur-Ain,Ain,Auvergne-Rhône-Alpes
107,1100,1510,45.8227204334,5.6050023969,Cheignieu-la-Balme,Ain,Auvergne-Rhône-Alpes
108,1101,1430,46.1103512578,5.58116056005,Chevillard,Ain,Auvergne-Rhône-Alpes
109,1102,1190,46.38249255,4.96288275972,Chevroux,Ain,Auvergne-Rhône-Alpes
110,1103,1170,46.283152935,6.04707941462,Chevry,Ain,Auvergne-Rhône-Alpes
111,1104,1200,46.222573373,5.87248105275,Chézery-Forens,Ain,Auvergne-Rhône-Alpes
112,1104,1410,46.222573373,5.87248105275,Chézery-Forens,Ain,Auvergne-Rhône-Alpes
113,1105,1390,45.922467454,4.88633786877,Civrieux,Ain,Auvergne-Rhône-Alpes
114,1106,1250,46.2003848172,5.45082526739,Cize,Ain,Auvergne-Rhône-Alpes
115,1107,1230,45.902146623,5.43272695486,Cleyzieu,Ain,Auvergne-Rhône-Alpes
116,1108,1270,46.3866637865,5.3308227014,Coligny,Ain,Auvergne-Rhône-Alpes
117,1109,1550,46.1419227898,5.90040256654,Collonges,Ain,Auvergne-Rhône-Alpes
118,1110,1300,45.7361469025,5.62670101041,Colomieu,Ain,Auvergne-Rhône-Alpes
119,1111,1230,45.8834810846,5.47541328981,Conand,Ain,Auvergne-Rhône-Alpes
120,1112,1430,46.105831161,5.55568206762,Condamine,Ain,Auvergne-Rhône-Alpes
121,1113,1400,46.1538469834,5.08437171701,Condeissiat,Ain,Auvergne-Rhône-Alpes
122,1114,1200,46.1543700156,5.83319395258,Confort,Ain,Auvergne-Rhône-Alpes
123,1115,1310,46.270304175,5.05775217893,Confrançon,Ain,Auvergne-Rhône-Alpes
124,1116,1300,45.8009403071,5.62087768159,Contrevoz,Ain,Auvergne-Rhône-Alpes
